task_title,time_stamp,start_flag,end_flag,risk,difficulty,r_hardware,r_software,r_people,r_consumables,r_attire,r_tools
OEG - UCROSOUXWXQOXNB,37.0,1,0,0.07009333,0.029123459,0.12841393,0.042003565,,0.052061707,0.07621975,
OEG - UCROSOUXWXQOXNB,37.857143,0,0,0.0080762915,0.024944609,0.016372845,0.11197295,,0.02894206,0.1013219,
OEG - UCROSOUXWXQOXNB,38.714287,0,0,0.12153031,0.055212118,0.12399781,0.046704624,,0.098442525,0.11817547,
OEG - UCROSOUXWXQOXNB,39.57143,0,0,0.036429375,0.08048838,0.07941744,0.072401896,,0.0067034154,0.05770374,
OEG - UCROSOUXWXQOXNB,40.42857,0,0,0.019580303,0.101636596,0.124709904,0.039496306,,0.083565325,0.07129528,
OEG - UCROSOUXWXQOXNB,41.285713,0,0,0.021052636,0.1219509,0.07435643,0.11930153,,0.09819286,0.1090877,
OEG - UCROSOUXWXQOXNB,42.142857,0,0,0.019449329,0.026390767,0.025345273,0.08282303,,0.025527503,0.013944128,
OEG - UCROSOUXWXQOXNB,43.0,0,1,0.013400069,0.028851975,0.03138065,0.05759808,,0.024499826,0.0056726253,
LRY - SRKEFEFHIMP,79.0,1,0,0.111502424,0.057571825,,,,0.04214049,0.1151799,
LRY - SRKEFEFHIMP,81.92308,0,0,0.008346596,0.03100602,,,,0.036156658,0.039736483,
LRY - SRKEFEFHIMP,84.84615,0,0,0.025680428,0.045246404,,,,0.04896866,0.023476595,
LRY - SRKEFEFHIMP,87.76923,0,0,0.06579146,0.06373071,,,,0.008547674,0.118031465,
LRY - SRKEFEFHIMP,90.69231,0,0,0.12204097,0.10556193,,,,0.13013719,0.019529581,
LRY - SRKEFEFHIMP,93.61539,0,0,0.09707034,0.028947847,,,,0.02463574,0.08401638,
LRY - SRKEFEFHIMP,96.53846,0,0,0.091300406,0.017212838,,,,0.0802304,0.08100741,
LRY - SRKEFEFHIMP,99.46154,0,0,0.03408206,0.031241087,,,,0.06674298,0.1336468,
LRY - SRKEFEFHIMP,102.38461,0,0,0.020443335,0.048685115,,,,0.019398687,0.032442916,
LRY - SRKEFEFHIMP,105.30769,0,0,0.033981517,0.0012813855,,,,0.049903445,0.12877354,
LRY - SRKEFEFHIMP,108.23077,0,0,0.11226412,0.08997247,,,,0.03985842,0.006828434,
LRY - SRKEFEFHIMP,111.15385,0,0,0.016948696,0.04994495,,,,0.014928259,0.07022321,
LRY - SRKEFEFHIMP,114.07692,0,0,0.12078231,0.041642744,,,,0.06879688,0.11144551,
LRY - SRKEFEFHIMP,117.0,0,1,0.08732806,0.07281907,,,,0.118410915,0.09359462,
CBQ - KABJQ,60.0,1,0,0.017736915,0.01817295,,0.041899845,,,0.023897374,
CBQ - KABJQ,60.3,0,0,0.1264681,0.01431903,,0.038094833,,,0.1317899,
CBQ - KABJQ,60.6,0,0,0.12488252,0.079854265,,0.10738245,,,0.00960373,
CBQ - KABJQ,60.9,0,0,0.07093453,0.13034752,,0.037746627,,,0.056130227,
CBQ - KABJQ,61.2,0,0,0.03160203,0.06404135,,0.06169034,,,0.10682693,
CBQ - KABJQ,61.5,0,0,0.015433129,0.09036913,,0.048160017,,,0.025124421,
CBQ - KABJQ,61.8,0,0,0.084338844,0.062438414,,0.02759737,,,0.031285226,
CBQ - KABJQ,62.1,0,0,0.080805525,0.10043664,,0.09246189,,,0.10995734,
CBQ - KABJQ,62.4,0,0,0.07557854,0.0045238333,,0.023701318,,,0.13229614,
CBQ - KABJQ,62.7,0,0,0.009454708,0.08202556,,0.063902184,,,0.08281774,
CBQ - KABJQ,63.0,0,1,0.046311792,0.08929569,,0.11131526,,,0.09137224,
LEP - GCIPVKVD,6.0,1,0,5.609809E-4,0.03520897,0.094245374,,,,0.059147455,
LEP - GCIPVKVD,6.9,0,0,0.054533944,0.029965466,0.0085327225,,,,0.005754536,
LEP - GCIPVKVD,7.8,0,0,0.0863226,0.12035082,0.07426008,,,,0.03257185,
LEP - GCIPVKVD,8.7,0,0,0.099752314,0.0869962,0.12337314,,,,0.084831044,
LEP - GCIPVKVD,9.6,0,0,0.017905327,0.060619064,0.09876867,,,,0.012145019,
LEP - GCIPVKVD,10.5,0,0,0.03820653,0.02873616,0.034345824,,,,0.12708378,
LEP - GCIPVKVD,11.4,0,0,0.08192859,0.106337175,0.03919453,,,,0.04333492,
LEP - GCIPVKVD,12.299999,0,0,0.112200215,0.12768485,0.13039951,,,,0.06538545,
LEP - GCIPVKVD,13.2,0,0,0.019082872,0.12156018,0.075580545,,,,0.06602881,
LEP - GCIPVKVD,14.099999,0,0,0.03935098,0.047413714,0.045197077,,,,0.08936675,
