task_title,time_stamp,start_flag,end_flag,risk,difficulty,r_hardware,r_software,r_people,r_consumables,r_attire,r_tools
QVF - FXOOCVYA,19,1,0,0.7393544,0.166156,0.1054587,,,,,
QVF - FXOOCVYA,26,0,0,0.88226014,0.0034519434,0.02304859,,,,,
QVF - FXOOCVYA,33,0,0,0.9080142,0.09081739,0.07723134,,,,,
QVF - FXOOCVYA,40,0,0,0.31738496,0.70676076,0.05438567,,,,,
QVF - FXOOCVYA,47,0,0,0.12686425,0.7727231,0.0119788265,,,,,
QVF - FXOOCVYA,54,0,0,0.50501275,0.12667078,0.08852102,,,,,
QVF - FXOOCVYA,61,0,0,0.19885248,0.07008213,0.024613513,,,,,
QVF - FXOOCVYA,68,0,0,0.33321136,0.05580604,0.1453988,,,,,
QVF - FXOOCVYA,75,0,0,0.6576095,0.5544122,0.0103885075,,,,,
QVF - FXOOCVYA,78,0,1,0.52065384,0.8171063,0.10720411,,,,,
TNS - DPQAHUVDQLHRPLJJTLAYOGDPUGMSB,23,1,0,0.7033572,0.3459608,0.08137312,,0.08932707,0.14680311,,
TNS - DPQAHUVDQLHRPLJJTLAYOGDPUGMSB,27,0,0,0.8394699,0.6686393,0.012963046,,0.14130451,0.10495433,,
TNS - DPQAHUVDQLHRPLJJTLAYOGDPUGMSB,31,0,0,0.84982854,0.019353807,0.05554056,,0.05150594,0.028311623,,
TNS - DPQAHUVDQLHRPLJJTLAYOGDPUGMSB,35,0,0,0.8041728,0.9590491,0.12737913,,0.048388403,0.11069486,,
TNS - DPQAHUVDQLHRPLJJTLAYOGDPUGMSB,39,0,0,0.6111895,0.43264985,0.10558617,,0.085850045,0.12231871,,
TNS - DPQAHUVDQLHRPLJJTLAYOGDPUGMSB,43,0,0,0.27081257,0.17193842,0.0029587173,,0.09407471,0.020696534,,
TNS - DPQAHUVDQLHRPLJJTLAYOGDPUGMSB,47,0,0,0.1534946,0.8326894,0.11232162,,0.05075266,0.1039287,,
TNS - DPQAHUVDQLHRPLJJTLAYOGDPUGMSB,51,0,0,0.8040377,0.15015042,0.013528881,,0.04467453,0.038567245,,
TNS - DPQAHUVDQLHRPLJJTLAYOGDPUGMSB,55,0,0,0.55761266,0.011214972,0.13783991,,0.09635181,0.123155944,,
TNS - DPQAHUVDQLHRPLJJTLAYOGDPUGMSB,59,0,0,0.07688403,0.36214018,0.08891409,,0.0979734,0.102450274,,
TNS - DPQAHUVDQLHRPLJJTLAYOGDPUGMSB,63,0,0,0.7716962,0.29742223,0.12919784,,0.07766406,0.006228733,,
TNS - DPQAHUVDQLHRPLJJTLAYOGDPUGMSB,67,0,0,0.9465667,0.5084479,0.075010076,,0.080666855,0.09051267,,
TNS - DPQAHUVDQLHRPLJJTLAYOGDPUGMSB,71,0,0,0.43627125,0.5098002,0.023162765,,0.012727927,0.047918454,,
TNS - DPQAHUVDQLHRPLJJTLAYOGDPUGMSB,75,0,0,0.43609363,0.7066021,0.01648486,,0.088618085,0.027771605,,
TNS - DPQAHUVDQLHRPLJJTLAYOGDPUGMSB,79,0,0,0.21085268,0.41804248,0.06514901,,0.15138213,0.14551932,,
TNS - DPQAHUVDQLHRPLJJTLAYOGDPUGMSB,79,0,1,0.3756091,0.43023384,0.11523165,,0.035562944,0.10488355,,
ATX - RPOYGLRGODBSXENNRRKALUXXVIX,37,1,0,0.5659349,0.41785187,0.10302967,0.008621349,,,,
ATX - RPOYGLRGODBSXENNRRKALUXXVIX,41,0,0,0.33424717,0.9907929,0.035140324,0.110460185,,,,
ATX - RPOYGLRGODBSXENNRRKALUXXVIX,45,0,0,0.07239181,0.5356824,0.050544243,0.0859917,,,,
ATX - RPOYGLRGODBSXENNRRKALUXXVIX,49,0,0,0.9700702,0.46529233,0.09861896,0.087447815,,,,
ATX - RPOYGLRGODBSXENNRRKALUXXVIX,53,0,0,0.9199686,0.17719424,0.0708832,0.09703321,,,,
