task_title,time_stamp,start_flag,end_flag,risk,difficulty,r_hardware,r_software,r_people,r_consumables,r_attire,r_tools
VUV - LVIFSU,20,1,0,0.3475814,0.92434,0.14290237,,,,0.06708453,
VUV - LVIFSU,23,0,0,0.41099256,0.2610072,0.13073432,,,,0.28499445,
VUV - LVIFSU,26,0,0,0.747219,0.22857726,0.08456166,,,,0.04195219,
VUV - LVIFSU,29,0,0,0.3569395,0.037147045,0.18790175,,,,0.21886386,
VUV - LVIFSU,32,0,0,0.6629749,0.1386475,0.32910356,,,,0.0851987,
VUV - LVIFSU,35,0,0,0.12960654,0.28875613,0.07302572,,,,0.15159455,
VUV - LVIFSU,38,0,0,0.82484615,0.1635434,0.033007096,,,,0.21421255,
VUV - LVIFSU,41,0,0,0.58718747,0.49694866,0.046504203,,,,0.23005484,
VUV - LVIFSU,44,0,0,0.5257522,0.54990655,0.34901518,,,,0.33146188,
VUV - LVIFSU,47,0,0,0.556375,0.34792227,0.19906674,,,,0.27686232,
VUV - LVIFSU,50,0,0,0.55605596,0.5311205,0.014463061,,,,0.2964971,
VUV - LVIFSU,53,0,0,0.5043403,0.84926885,0.036681514,,,,0.03804923,
VUV - LVIFSU,56,0,0,0.67257077,0.304004,0.25801662,,,,0.26552436,
VUV - LVIFSU,59,0,0,0.52058697,0.6914643,0.118936285,,,,0.29181874,
VUV - LVIFSU,62,0,0,0.46533287,0.83076054,0.19347805,,,,0.12529618,
VUV - LVIFSU,63,0,1,0.09696269,0.07719183,0.19896314,,,,0.3363155,
MVJ - LMDHLLPISLYS,87,1,0,0.60066354,0.8501503,0.13504323,,,0.04695816,0.06161516,
MVJ - LMDHLLPISLYS,88,0,0,0.96761173,0.7508159,0.1635378,,,0.08383382,0.21809892,
MVJ - LMDHLLPISLYS,89,0,0,0.32066154,0.94774455,0.086742766,,,0.250061,0.28660235,
MVJ - LMDHLLPISLYS,90,0,0,0.4922815,0.7453295,0.0967488,,,0.2790634,0.27385968,
MVJ - LMDHLLPISLYS,91,0,0,0.8286707,0.99951255,0.34147218,,,0.026064867,0.085301675,
MVJ - LMDHLLPISLYS,92,0,0,0.11462277,0.59795624,0.16625011,,,0.105507776,0.075600155,
MVJ - LMDHLLPISLYS,93,0,0,0.88175553,0.9966938,0.13877696,,,0.19342521,0.3417119,
MVJ - LMDHLLPISLYS,94,0,0,0.12521458,0.8399207,0.29908645,,,0.10292612,0.25480714,
MVJ - LMDHLLPISLYS,95,0,0,0.8418599,0.37471372,0.33986852,,,0.21715695,0.16159554,
MVJ - LMDHLLPISLYS,96,0,0,0.575544,0.3966396,0.00518876,,,0.09335985,0.095715165,
MVJ - LMDHLLPISLYS,97,0,0,0.5282193,0.8498511,0.24864861,,,0.033381786,0.25164652,
MVJ - LMDHLLPISLYS,98,0,0,0.34445667,0.15266109,0.2841823,,,0.0632281,0.28951302,
MVJ - LMDHLLPISLYS,101,0,1,0.5860987,0.44489425,0.08105474,,,0.16833727,0.2148995,
GKB - OSLPJRLKLURLUYLOIKUIFNKEUO,72,1,0,0.4394176,0.17435539,0.11280742,,,0.029395118,,
GKB - OSLPJRLKLURLUYLOIKUIFNKEUO,81,0,0,0.23578489,0.2404657,0.32936043,,,0.33352757,,
GKB - OSLPJRLKLURLUYLOIKUIFNKEUO,90,0,0,0.4800315,0.9060204,0.14799199,,,0.039483402,,
GKB - OSLPJRLKLURLUYLOIKUIFNKEUO,99,0,0,0.7036407,0.89768547,0.33169234,,,0.14801425,,
GKB - OSLPJRLKLURLUYLOIKUIFNKEUO,108,0,0,0.81551504,0.4814149,0.23350652,,,0.1639216,,
GKB - OSLPJRLKLURLUYLOIKUIFNKEUO,117,0,0,0.4925269,0.4660623,0.20091082,,,0.30673653,,
GKB - OSLPJRLKLURLUYLOIKUIFNKEUO,118,0,1,0.5322552,0.33866894,0.0690132,,,0.003964158,,
EOP - UQGJTSELIAITJQORRGGLCXPFAS,33,1,0,0.33860993,0.42239505,,0.19207306,,,0.094886646,
EOP - UQGJTSELIAITJQORRGGLCXPFAS,39,0,0,0.43329644,0.042428076,,0.22932921,,,0.13023284,
EOP - UQGJTSELIAITJQORRGGLCXPFAS,45,0,0,0.761001,0.7572154,,0.20288886,,,0.20930386,
EOP - UQGJTSELIAITJQORRGGLCXPFAS,51,0,0,0.3471257,0.91097414,,0.11623335,,,0.12457961,
EOP - UQGJTSELIAITJQORRGGLCXPFAS,57,0,0,0.3737592,0.23990256,,0.031845354,,,0.13604543,
EOP - UQGJTSELIAITJQORRGGLCXPFAS,63,0,0,0.7294277,0.31239283,,0.23970148,,,0.034035634,
EOP - UQGJTSELIAITJQORRGGLCXPFAS,69,0,0,0.3337236,0.29132754,,0.20736025,,,0.33795926,
EOP - UQGJTSELIAITJQORRGGLCXPFAS,75,0,0,0.395302,0.9794776,,0.32866803,,,0.1725895,
EOP - UQGJTSELIAITJQORRGGLCXPFAS,81,0,0,0.45892543,0.5656418,,0.24500383,,,0.30388188,
EOP - UQGJTSELIAITJQORRGGLCXPFAS,87,0,0,0.8944329,0.56443536,,0.12980007,,,0.20342505,
EOP - UQGJTSELIAITJQORRGGLCXPFAS,93,0,0,0.9699879,0.57680863,,0.008033752,,,0.12710313,
EOP - UQGJTSELIAITJQORRGGLCXPFAS,99,0,0,0.049128354,0.9943794,,0.005923285,,,0.20333907,
EOP - UQGJTSELIAITJQORRGGLCXPFAS,105,0,0,0.7188556,0.8146571,,0.3456744,,,0.11582984,
EOP - UQGJTSELIAITJQORRGGLCXPFAS,111,0,0,0.75930077,0.8766286,,0.07660391,,,0.2543683,
EOP - UQGJTSELIAITJQORRGGLCXPFAS,112,0,1,0.11365694,0.23949713,,0.1714337,,,0.123879686,
EKT - VJOAOKDQFNIKNTVFJDOFOPFL,10,1,0,0.246948,0.36015546,0.15867886,0.17606376,0.11227044,,,
