task_title,time_stamp,start_flag,end_flag,risk,difficulty,r_hardware,r_software,r_people,r_consumables,r_attire,r_tools
QGM - XGFKRHIBIGGWCSORFFY,91.0,1,0,0.84038806,0.97360456,0.30011076,0.2531813,,0.21886112,,
QGM - XGFKRHIBIGGWCSORFFY,92.84615,0,0,0.25000125,0.5611775,0.27790374,0.30902886,,0.08341758,,
QGM - XGFKRHIBIGGWCSORFFY,94.69231,0,0,0.19788128,0.072883785,0.044489335,0.075500846,,0.19439065,,
QGM - XGFKRHIBIGGWCSORFFY,96.53846,0,0,0.5053367,0.97320944,0.28525504,0.11243476,,0.07814935,,
QGM - XGFKRHIBIGGWCSORFFY,98.38461,0,0,0.16329306,0.3917477,0.036677346,0.25244105,,0.059331376,,
QGM - XGFKRHIBIGGWCSORFFY,100.23077,0,0,0.40190125,0.9667592,0.15137652,0.12656122,,0.107714325,,
QGM - XGFKRHIBIGGWCSORFFY,102.07692,0,0,0.37172574,0.040339828,0.12567729,0.11973251,,0.3040239,,
QGM - XGFKRHIBIGGWCSORFFY,103.92308,0,0,0.7453401,0.26666623,0.05734265,0.15824178,,0.08821243,,
QGM - XGFKRHIBIGGWCSORFFY,105.76923,0,0,0.40276086,0.8598686,0.22473218,0.13046014,,0.10352878,,
QGM - XGFKRHIBIGGWCSORFFY,107.61539,0,0,0.6026393,0.11698717,5.5879354E-4,0.0029803626,,0.085110605,,
QGM - XGFKRHIBIGGWCSORFFY,109.46154,0,0,0.042144775,0.18440622,0.045368746,0.056902803,,0.029117186,,
QGM - XGFKRHIBIGGWCSORFFY,111.30769,0,0,0.8182549,0.9096718,0.12776235,0.1548609,,0.1611126,,
QGM - XGFKRHIBIGGWCSORFFY,113.15385,0,0,0.16356087,0.5519987,0.0864226,0.17511484,,0.074454285,,
QGM - XGFKRHIBIGGWCSORFFY,115.0,0,1,0.64987355,0.12595141,0.022718813,0.17008579,,0.2934351,,
NSV - MDMJAARHPVUYAOX,62.0,1,0,0.47556418,0.31785262,,,,0.11632183,0.29940203,
NSV - MDMJAARHPVUYAOX,65.25,0,0,0.16299272,0.7862165,,,,0.11201177,0.029429197,
NSV - MDMJAARHPVUYAOX,68.5,0,0,0.019461095,0.1581204,,,,0.24666584,0.09708868,
NSV - MDMJAARHPVUYAOX,71.75,0,0,0.9439292,0.36281824,,,,0.045850277,0.069993846,
NSV - MDMJAARHPVUYAOX,75.0,0,0,0.39319187,0.1882937,,,,0.29797548,0.19647703,
NSV - MDMJAARHPVUYAOX,78.25,0,0,0.30462795,0.47502333,,,,0.029756539,0.11398986,
NSV - MDMJAARHPVUYAOX,81.5,0,0,0.8253975,0.34514147,,,,0.27805385,0.078439936,
NSV - MDMJAARHPVUYAOX,84.75,0,0,0.120297134,0.026469171,,,,0.26042292,0.0870225,
NSV - MDMJAARHPVUYAOX,88.0,0,1,0.46185547,0.14990097,,,,0.046894457,0.21434338,
NMI - VVYMBWGTSHF,39.0,1,0,0.83213305,0.9636219,0.12857154,,0.100780964,,0.0011499785,
NMI - VVYMBWGTSHF,45.8,0,0,0.4533975,0.5089264,0.10291451,,0.2515265,,0.2377303,
NMI - VVYMBWGTSHF,52.6,0,0,0.6396037,0.5920559,0.03615331,,0.28088596,,0.06273331,
