task_title,time_stamp,start_flag,end_flag,risk,difficulty,r_hardware,r_software,r_people,r_consumables,r_attire,r_tools
EPV - WRAAF,53,1,0,0.55880564,0.12233335,0.21805051,,0.21504413,,0.14458126,
EPV - WRAAF,57,0,0,0.22253996,0.49050963,0.16324139,,0.1038929,,0.1706402,
EPV - WRAAF,61,0,0,0.7621769,0.73474616,0.07473267,,0.2519846,,0.17725113,
EPV - WRAAF,65,0,0,0.94900477,0.048623443,0.2662553,,0.09392503,,0.04349277,
EPV - WRAAF,69,0,0,0.9717328,0.32406592,0.25811085,,0.1344851,,0.21236466,
EPV - WRAAF,73,0,0,0.74215126,0.50483114,0.11267389,,0.14632493,,0.015825706,
EPV - WRAAF,77,0,0,0.31228846,0.78212845,0.23659115,,0.08360395,,0.08483459,
EPV - WRAAF,81,0,0,0.65431577,0.69062555,0.2544251,,0.11803975,,0.19286233,
EPV - WRAAF,85,0,0,0.024178743,0.36329615,0.10862429,,0.040038727,,0.015817706,
EPV - WRAAF,89,0,0,0.8809082,0.5600076,0.092512794,,0.23695165,,0.25112927,
EPV - WRAAF,93,0,0,0.86579317,0.597442,0.09433397,,0.13473623,,0.1452955,
EPV - WRAAF,97,0,0,0.6590716,0.9768906,0.13554017,,0.011194679,,0.08968869,
EPV - WRAAF,101,0,0,0.6265245,0.3316564,0.039782446,,0.15492375,,0.09449106,
EPV - WRAAF,105,0,0,0.044332862,0.29724312,0.23470318,,0.043456595,,0.12250063,
EPV - WRAAF,109,0,0,0.34778535,0.04520881,0.052386597,,0.08250062,,0.20816448,
EPV - WRAAF,118,0,1,0.2878999,0.51550144,0.17046289,,0.021400502,,0.21686707,
BET - TYOSJHMN,36,1,0,0.41147852,0.69709975,,0.19673888,0.26111898,0.10231672,0.122988105,
BET - TYOSJHMN,54,0,0,0.38775903,0.7824678,,0.09273378,0.12200233,0.1880562,0.24457608,
BET - TYOSJHMN,72,0,0,0.62271774,0.9064508,,0.036032144,4.0078274E-4,0.11747313,0.088656805,
BET - TYOSJHMN,90,0,0,0.9005135,0.21921718,,0.06764024,0.04347213,0.07231453,0.25883976,
BET - TYOSJHMN,108,0,0,0.9720132,0.8438763,,0.1151786,0.00200931,0.06550816,0.21646695,
BET - TYOSJHMN,110,0,1,0.84320706,0.9234995,,0.04940968,0.069310874,0.22443591,0.20309654,
RPL - JGYMMGHYICLRDGEVU,40,1,0,0.27643943,0.46763885,0.11495176,,0.09697603,0.19414252,0.037709467,
RPL - JGYMMGHYICLRDGEVU,44,0,0,0.75892884,0.8287922,0.22589308,,0.08529398,0.024228364,0.059968803,
RPL - JGYMMGHYICLRDGEVU,48,0,0,0.7048326,0.3854921,0.05567671,,0.101531245,0.14271684,0.04208918,
RPL - JGYMMGHYICLRDGEVU,52,0,0,0.9528066,0.7423959,0.045681167,,0.232277,0.26169652,0.16609973,
